"PLS","variable","initial","nac","nfn","nfs","ssp1","ssp3"
"21","farmland_medium",0.198872370645404,0.17707384377718,0.216384272091091,0.118743364233524,0.172926436353009,0.173309282399714
"21","farmland_high",0.0807786686345935,0.0977279180660844,0.0524661110248417,0.154579252004623,0.0981107577681541,0.0892010885290802
"21","forest_lowmedium",0.123215598985553,0.103058639913797,0.116278123110533,0.114265326410532,0.133470999076962,0.13981682062149
"21","forest_high",0.139439776539803,0.21057790517807,0.227573558688164,0.252266556024551,0.184620380401611,0.168123573064804
"21","landscape_div",0.220920317806304,0.211459596641362,0.156180215999484,0.215490985196084,0.224029423203319,0.146910909796134
"22","urban",0.0143504529260099,0.016694447491318,0.0161214708350599,0.014428585767746,0.0163037814199924,0.0273726424202323
"22","farmland_low",0.140874053817242,0.140483385715925,0.0828732163645327,0.0672986786812544,0.00359412445686758,0.0696687183826725
"22","farmland_medium",0.095218253265557,0.0150796959642321,0.0576101685874164,0.0572195008862764,0.0556047491918434,0.0952703393995762
"22","farmland_high",0.00026044380501844,0.0602666940540075,0.064433797262609,0.00632878416217864,0.085191166959703,0.00619856244884431
"22","forest_lowmedium",0.141134493751451,0.0261225125286728,0.00104177522007376,0.0751380315050483,0.096728824195452,0.106807998410659
"22","forest_high",0.33245649933815,0.327898740768433,0.476690292358398,0.484555691480637,0.461792886257172,0.438222736120224
"22","landscape_div",0.180018753688273,0.295786023139954,0.212053337840189,0.199525987933157,0.177804975603067,0.13985832221806
"23","urban",0.0690436251461506,0.0740148350596428,0.0707208681851625,0.0746200233697891,0.0775768142193556,0.071909636259079
"23","farmland_low",0.0658663744106889,0.112500646253466,0.114411322392698,0.112379610647622,0.0430636485098148,0.074831843143329
"23","farmland_medium",0.218309611082077,0.148570023477077,0.185084633529186,0.128538206219673,0.157219932181761,0.184029877185822
"23","farmland_high",0.259134065592661,0.250311236362904,0.251482712104917,0.297753877472132,0.248819877102505,0.258412157185376
"23","forest_lowmedium",0.0497553316527046,0.0172609069850296,0.0196341192349792,0.0220505595207214,0.0412653667735867,0.0640767379372846
"23","forest_high",0.14703543484211,0.191071704030037,0.254478424787521,0.241376027464867,0.194270566105843,0.157721370458603
"23","landscape_div",0.22861946746707,0.218919136561453,0.120294641703367,0.142046926543117,0.235821241512895,0.211885949596763
"24","urban",0.0285075716674328,0.0288398880511522,0.0285596996545792,0.0290809813886881,0.0311921704560518,0.0337529648095369
"24","farmland_low",0.173058880493045,0.140296350000426,0.138139543996658,0.131786429672502,0.128345975652337,0.133871554397047
"24","farmland_medium",0.109104180242866,0.0547736325825099,0.0598887071828358,0.0595042617460422,0.0395261570811272,0.0634073517285287
"24","farmland_high",0.0661115032417001,0.103858781119925,0.0921495054644765,0.106269711628556,0.110022934226436,0.102158104928094
"24","forest_lowmedium",0.272408574819565,0.255760163068771,0.223036721348763,0.232237339019775,0.229422416538,0.28269736468792
"24","forest_high",0.0677535384893417,0.099264994263649,0.104621157050133,0.0972124487161636,0.098039984703064,0.0771300867199898
"24","landscape_div",0.14050486126871,0.174538011808181,0.168139286513906,0.174544527180842,0.129023637622595,0.00622279569506645
"25","urban",0.00436141842510551,0.00458777730818838,0.00496028910856694,0.00665708922315389,0.00466263620182872,0.00605108949821442
"25","farmland_low",0.00179839444399477,0.0144459731145616,0.0186362861495581,0.010733331470874,0.00203722979324539,0.00298009465041105
"25","farmland_medium",0.0115674730550381,0.0104196372633396,0.00465728904418938,0.00902940190735535,0.00561975967139006,0.00406911257823594
"25","farmland_high",0.00654658349230886,0.00699573662132025,0.00822912523199193,0.0072024897672236,0.0100952490688542,0.00634517753496766
"25","forest_lowmedium",0.450092330574989,0.341096088290215,0.344306096434593,0.345402240753174,0.419336035847664,0.425007492303848
"25","forest_high",0.162017688155174,0.266001969575882,0.265367448329926,0.264023542404175,0.214053496718407,0.19853276014328
"25","landscape_div",0.0302269282547059,0.0138488849588612,0.0219924570410512,0.0131305963150226,0.0257443103820378,0.025507258324069
"3","urban",0.0971737876534462,0.100374389439821,0.0995742455124855,0.104592468589544,0.107052188366652,0.104434411972761
"3","farmland_low",0.0570082294289023,0.144570342265069,0.151178983040154,0.152166820131242,0.0318874650401995,0.0654937708750367
"3","farmland_medium",0.247078467160463,0.131501218304038,0.134247414767742,0.118995171273127,0.104898698627949,0.191038317978382
"3","farmland_high",0.215171241899952,0.192846063990146,0.210795113816857,0.211713803000748,0.229880178812891,0.23189536947757
"3","forest_lowmedium",0.0331617784686387,0.0207051197066903,0.024933073669672,0.0373600972816348,0.0404026431497186,0.05341249355115
"3","forest_high",0.121119022369385,0.150289937853813,0.164949476718903,0.178957045078278,0.15736286342144,0.128557458519936
"3","landscape_div",0.259950013831258,0.282867901027203,0.292183225974441,0.251652161823586,0.438966329442337,0.323122364003211
"4","urban",0.0691735278815031,0.0700364168733358,0.0695693492889404,0.0812539588660002,0.08549714833498,0.0806127302348614
"4","farmland_low",0.244007283821702,0.211700449697673,0.212872073752806,0.189502849709243,0.230929385870695,0.250166247831658
"4","farmland_medium",0.120107660419308,0.0688727032838869,0.0819743529427797,0.068643128615804,0.0390991123140338,0.0580114002805203
"4","farmland_high",0.0699968364515371,0.117368589068064,0.0878245758867706,0.123772958970221,0.115215326260113,0.121493029977501
"4","forest_lowmedium",0.236265044659376,0.237642489373684,0.236660853028297,0.226021222770214,0.226963266730309,0.226139955222607
"4","forest_high",0.00313489558175206,0.00326947425492108,0.00417986046522856,0.00202659913338721,0.00213742884807289,0.00328530720435083
"4","landscape_div",0.102311589173041,0.144601010601036,0.130074414424598,0.146049716138805,0.0759262202054742,0.0104892334584292
"5","urban",0.0722058769315481,0.0778998248279095,0.0774264503270388,0.0807454604655504,0.0790079552680254,0.088375948369503
"5","farmland_low",0.117671423591673,0.131445033010095,0.122932345606387,0.138884556014091,0.0276682497787988,0.0860547921620309
"5","farmland_medium",0.255897019989789,0.0565306972712278,0.104325466323644,0.148314405698329,0.23376134224236,0.233995342627168
"5","farmland_high",0.0846561868838762,0.157136405896381,0.164105240255594,0.126713966019452,0.106103312366031,0.092972530706902
"5","forest_lowmedium",0.083432400599122,0.0396747710183263,0.0151856658048928,0.0370792737230659,0.0700837569311261,0.0891559429001063
"5","forest_high",0.175619557499886,0.153935745358467,0.212351873517036,0.174422666430473,0.204780548810959,0.202155470848083
"5","landscape_div",0.197623440530151,0.331814601900987,0.279025168623775,0.265560871222988,0.230049648904242,0.152978228594293
"6","urban",0.113836538046598,0.124175813049078,0.118424937129021,0.128425922244787,0.145229540765285,0.126076370477676
"6","farmland_low",0.0548024402232841,0.0808751166478032,0.0739310139088047,0.073531220186851,0.0353048274846515,0.0497219890821725
"6","farmland_medium",0.15059907361865,0.114992867223918,0.123468482866883,0.103712543845177,0.108331693336368,0.150906609371305
"6","farmland_high",0.3723429068923,0.372139938175678,0.372613537125289,0.364353192169801,0.392203405499458,0.367164060036885
"6","forest_lowmedium",0.0302551295608282,0.0206108838319778,0.025740540586412,0.0482458304613829,0.0270075779408216,0.0284652854315937
"6","forest_high",0.0110588986426592,0.02348324470222,0.013746740296483,0.0197436399757862,0.0174063872545958,0.0119753479957581
"6","landscape_div",0.12179550062865,0.100834031589329,0.118062050081789,0.105059537570924,0.254053286276758,0.131901048123837
"7","urban",0.0271114446222782,0.027213073335588,0.0271588712930679,0.0273147039115429,0.0281819440424442,0.0292151812463999
"7","farmland_low",0.170287506654859,0.113185111898929,0.0932656691875309,0.106660478166305,0.161523632887111,0.153660877374932
"7","farmland_medium",0.192239545518532,0.130035334266722,0.146502750343643,0.134635768365115,0.0899389847763814,0.127542014182382
"7","farmland_high",0.0887634747195989,0.134154730068985,0.154138537094695,0.156933360267431,0.148304977788939,0.153389863015036
"7","forest_lowmedium",0.292073890566826,0.284448273479939,0.278756994754076,0.273140262812376,0.288709938526154,0.303873114287853
"7","forest_high",0.00393307348713279,0.0137810008600354,0.0101291034370661,0.0177784394472837,0.0111792786046863,0.0101494295522571
"7","landscape_div",0.148081400431693,0.224263096111827,0.191721242037602,0.209536942653358,0.131034691898094,0.040763714226614
"8","urban",0.0250240145251155,0.03716657217592,0.0290386937558651,0.0364769343286753,0.0275608981028199,0.0331765227019787
"8","farmland_low",0.361321151256561,0.343242775648832,0.390285950154066,0.373463708907366,0.0720179318450391,0.442058071494102
"8","farmland_medium",0.304228971013799,0.0420186709452537,0.250437186623458,0.258909883854358,0.291938631795347,0.221078293630853
"8","farmland_high",0.00197039483464323,0.000615748351265211,0.0112805100798141,0.00251225336251082,0.003226521454053,0.000837417785078287
"8","forest_lowmedium",0.0874116402119398,0.0669934246689081,0.0473387371748686,0.0615009479224682,0.155611926689744,0.104455556720495
"8","forest_high",0.00992586370557547,0.0124381175264716,0.0287185050547123,0.0174872539937496,0.00312800169922411,0.00765990978106856
"8","landscape_div",0.0888648072723299,0.348267275840044,0.130144581555214,0.126006744892948,0.289327856007731,0.0214034137316048
"9","urban",0.0560854524374008,0.0578547939658165,0.0577241331338882,0.0588184054940939,0.060021560639143,0.0629015062004328
"9","farmland_low",0.0775952182011679,0.103846822385094,0.095892948898836,0.0822989472653717,0.0247000289091375,0.0477014865027741
"9","farmland_medium",0.267764210700989,0.0985551248304546,0.124741403385997,0.152985564665869,0.169475832954049,0.245617473265156
"9","farmland_high",0.112807865152718,0.288702338933945,0.256309752592642,0.198433182900771,0.212533483281732,0.127768337837551
"9","forest_lowmedium",0.0731582520529628,0.0215805408079177,0.0156791007611901,0.0347281196154654,0.0435476143611595,0.0739966434193775
"9","forest_high",0.187838897109032,0.144389271736145,0.202810257673264,0.202870145440102,0.230771318078041,0.224761009216309
"9","landscape_div",0.15660591237247,0.19652773020789,0.167096753706574,0.187490476295352,0.172644320817199,0.123097272322411
"europe","urban",0.0715593006461859,0.0789684150367975,0.0745117273181677,0.082835603505373,0.0893828477710485,0.0819600280374289
"europe","farmland_low",0.098908856511116,0.104193373583257,0.106325468048453,0.101096197962761,0.0518826651386917,0.0928733828477561
"europe","farmland_medium",0.154334729537368,0.0775069803930819,0.102221879642457,0.101088057504967,0.112176150083542,0.125417528208345
"europe","farmland_high",0.0833002673462033,0.105827616993338,0.105146893300116,0.105092508718371,0.100333893671632,0.0928898733109236
"europe","forest_lowmedium",0.214999727904797,0.165904618799686,0.160657353699207,0.164797775447369,0.210726544260979,0.222273088991642
"europe","forest_high",0.102922298014164,0.142161652445793,0.15508097410202,0.155446499586105,0.136475205421448,0.121143706142902
"europe","landscape_div",0.13606536295265,0.181671020574868,0.156804939266294,0.155739641981199,0.161503600422293,0.0960508622229099
